ISIN,Ticker,Company,Weightage,Amount Invested
NL0009296649,,Kempen European Property Fund,15,
LU1852211991,,UBS ETF Sust Dev Bank Bonds (hedg EUR) A,10,
IE00BLF7W171,,Aegon US High Yield Bond Fund,7,
IE00B0M62S72,,iShares Euro Dividend UCITS ETF (Dist),12,
IE00BF3N7102,,iShares USD High Yield Corp Bond UCITS ETF,15,
LU1624254394,,Kempen (Lux) Euro High Yield Fund J,5,
NL0011755855,,Kempen Global High Dividend Fund class Y,14,
NL0012044739,,Kempen Global Property Fund N,9,
NL0015614587,,NT High Dividend ESG World Eq Feeder C,3,
NL0011495205,,UBS SRI Global Equity,10,